ID    |TERMINO                       |CF    |DF    
197   |Estaban Leonela               |1     |1     
198   |Este Gin                      |1     |1     
199   |Excelencia.                   |1     |1     
200   |Felipe.                       |1     |1     
201   |Felixmarte.                   |1     |1     
202   |Fernando.                     |2     |1     
203   |Figura.                       |9     |1     
204   |Filipo Tercero                |1     |1     
205   |Flandes.                      |3     |1     
206   |Florencia.                    |2     |1     
207   |Fortuna.                      |1     |1     
208   |Fosca Vista                   |2     |1     
209   |Foundation.                   |2     |1     
210   |Francia.                      |1     |1     
211   |Francisca Ricota              |1     |1     
212   |Francisco Murcia              |2     |1     
213   |Fue Sancho                    |1     |1     
214   |Fuese Anselmo                 |1     |1     
215   |Fuese Lotario                 |1     |1     
216   |Full Project                  |1     |1     
217   |Gaiferos.                     |1     |1     
218   |Galatea.                      |1     |1     
219   |Garamanta.                    |1     |1     
220   |Gaspar Gregorio               |3     |1     
221   |Gaula.                        |2     |1     
222   |General Information About Project Gutenberg|1     |1     
223   |General Terms                 |2     |1     
224   |Gigote.                       |1     |1     
225   |Gil Polo                      |1     |1     
226   |Gobernador.                   |1     |1     
227   |Gonzalo Fern                  |1     |1     
228   |Gonzalo Hern                  |2     |1     
229   |Gran Bretaña                  |1     |1     
230   |Gran Capit                    |5     |1     
231   |Gran Fuerza                   |1     |1     
232   |Gran Mameluco                 |1     |1     
233   |Gran Señor                    |3     |1     
234   |Gran Turco                    |2     |1     
235   |Gran Turco Selim              |1     |1     
236   |Grecia.                       |1     |1     
237   |Gregorio.                     |1     |1     
238   |Guadarrama.                   |1     |1     
239   |Guarino Mezquino              |1     |1     
240   |Guinart.                      |1     |1     
241   |Gutenberg Literary Archive Foundation|2     |1     
242   |Gutierre Quijada              |1     |1     
243   |Hamete Benengeli              |4     |1     
244   |Hamete.                       |1     |1     
245   |Hasta Sancho Panza            |1     |1     
246   |Hermandad.                    |3     |1     
247   |Hermano Sancho                |1     |1     
248   |Hijo Sancho                   |1     |1     
249   |Hizo Altisidora               |1     |1     
250   |Hizo Sancho                   |3     |1     
251   |Homero.                       |3     |1     
252   |Iba Altisidora                |1     |1     
253   |Iba Sancho                    |1     |1     
254   |Iba Sancho Panza              |1     |1     
255   |Iba Zoraida                   |1     |1     
256   |Iglesia Cat                   |1     |1     
257   |Iglesia Mayor                 |1     |1     
258   |Iglesia.                      |2     |1     
259   |Indias Orientales             |1     |1     
260   |Indias.                       |1     |1     
261   |Ingenioso Hidalgo             |3     |1     
262   |Inglaterra.                   |1     |1     
263   |Italia.                       |1     |1     
264   |Jesucristo.                   |1     |1     
265   |Joaquin Cuenca                |2     |1     
266   |Juan Andrea                   |1     |1     
267   |Juan Gallo                    |3     |1     
268   |Juan Lati                     |1     |1     
269   |Juan Palomeque                |1     |1     
270   |Juan Rufo                     |1     |1     
271   |Juan Tocho                    |1     |1     
272   |Juan Zanoguera                |1     |1     
273   |Juan.                         |2     |1     
274   |Juana Guti                    |1     |1     
275   |Juana Panza                   |2     |1     
276   |Judas.                        |1     |1     
277   |Juicio.                       |1     |1     
278   |La Alejandra                  |1     |1     
279   |La Austr                      |1     |1     
280   |La Carolea                    |1     |1     
281   |La Cava Rum                   |1     |1     
282   |La Diana                      |4     |1     
283   |La Dolorida                   |2     |1     
284   |La Filis                      |1     |1     
285   |La Galatea                    |1     |1     
286   |La Isabela                    |1     |1     
287   |La Loba                       |1     |1     
288   |La Numancia                   |1     |1     
289   |La Pata                       |1     |1     
290   |La Perendenga                 |1     |1     
291   |La Presa                      |1     |1     
292   |La Puebla                     |1     |1     
293   |La Torralba                   |2     |1     
294   |Lagartos.                     |1     |1     
295   |Laguna.                       |1     |1     
296   |Lanzarote.                    |1     |1     
297   |Las Cortes                    |2     |1     
298   |Laura.                        |1     |1     
299   |Leandra.                      |2     |1     
300   |Lela Mari                     |11    |1     
301   |Leonela.                      |3     |1     
302   |Leones.                       |1     |1     
303   |Lepanto.                      |1     |1     
304   |License.                      |2     |1     
305   |Lirgandeo.                    |1     |1     
306   |Literary Archive Foundation   |2     |1     
307   |Llaman Liberalidad            |1     |1     
308   |Llana.                        |2     |1     
309   |Llega Cipi                    |1     |1     
310   |Lloraba Sancho                |1     |1     
311   |Locura.                       |1     |1     
312   |Lope Ruiz                     |2     |1     
313   |Lope Tocho                    |1     |1     
314   |Lorenzo Corchuelo             |3     |1     
315   |Los Hechos                    |1     |1     
316   |Lotario.                      |5     |1     
317   |Ludovico Ariosto              |1     |1     
318   |Luego Roque Guinart           |1     |1     
319   |Luis Tansilo                  |1     |1     
320   |Luis.                         |1     |1     
321   |Luna.                         |1     |1     
322   |Luscinda.                     |8     |1     
323   |Machuca.                      |1     |1     
324   |Maese Pedro                   |1     |1     
325   |Magno Alejandro               |2     |1     
326   |Mahoma.                       |1     |1     
327   |Majestad.                     |1     |1     
328   |Mal Ag                        |1     |1     
329   |Mala Figura                   |1     |1     
330   |Maldonado.                    |1     |1     
331   |Malta.                        |2     |1     
332   |Mancha.                       |11    |1     
333   |Marcela.                      |2     |1     
334   |Marco Polo                    |1     |1     
335   |Mari Guti                     |3     |1     
336   |Mari Sancha                   |3     |1     
337   |Maritornes.                   |5     |1     
338   |Marsilio Marsilio             |1     |1     
339   |Martos.                       |1     |1     
340   |Mas Cardenio                  |1     |1     
341   |Mas Pedro                     |1     |1     
342   |Mateo Boyardo                 |1     |1     
343   |Mecina.                       |1     |1     
344   |Melisendra.                   |2     |1     
345   |Micael Verino                 |1     |1     
346   |Miguel Turra                  |4     |1     
347   |Miraba Sancho                 |2     |1     
348   |Moles Hadriani                |1     |1     
349   |Montesinos.                   |2     |1     
350   |Morena.                       |1     |1     
351   |Mudanza.                      |1     |1     
352   |Muerte.                       |1     |1     
353   |Muley Hamet                   |1     |1     
354   |Muley Hamida                  |1     |1     
355   |Murcia.                       |1     |1     
356   |Ni Sancho                     |1     |1     
357   |Noriz.                        |1     |1     
358   |Novelas.                      |1     |1     
359   |Nuestra Señora                |5     |1     
360   |Nuestro Señor                 |10    |1     
361   |Nueva España                  |1     |1     
362   |Nueva Vizcaya                 |1     |1     
363   |Nuevo Mundo                   |1     |1     
364   |Oh Ana                        |1     |1     
365   |Oh Caballero                  |1     |1     
366   |Oh Dulcinea                   |1     |1     
367   |Oh Mario                      |1     |1     
368   |Oh Quiteria                   |1     |1     
369   |Oh Sancho                     |2     |1     
370   |Oh Sancho Panza               |1     |1     
371   |Oh Zoraida                    |1     |1     
372   |Oriana.                       |1     |1     
373   |Osuna.                        |3     |1     
374   |Otro Tirteafuera              |1     |1     
375   |Ovidio.                       |1     |1     
376   |Palinuro.                     |1     |1     
377   |Pancino.                      |1     |1     
378   |Panza.                        |17    |1     
379   |Par Dios                      |8     |1     
380   |Parapilla.                    |1     |1     
381   |Paredes.                      |1     |1     
382   |Pastor Fido                   |1     |1     
383   |Pedro Alonso                  |1     |1     
384   |Pedro Gregorio                |1     |1     
385   |Pedro Mart                    |1     |1     
386   |Pedro Puertocarrero           |1     |1     
387   |Pedro Recio                   |7     |1     
388   |Pedro Recio Ag                |1     |1     
389   |Pedro Recio Tirteafuera       |1     |1     
390   |Pedro.                        |5     |1     
391   |Pero Basilio                  |1     |1     
392   |Pero Dios                     |2     |1     
393   |Perogrullo.                   |1     |1     
394   |Peña Pobre                    |5     |1     
395   |Pierres Pap                   |1     |1     
396   |Plain Vanilla                 |2     |1     
397   |Polo.                         |2     |1     
398   |Ponto.                        |1     |1     
399   |Por Dios                      |15    |1     
400   |Por Marcela                   |1     |1     
401   |Porfiaba Sancho               |1     |1     
402   |Portugal.                     |3     |1     
403   |Posting Date                  |1     |1     
404   |Presa.                        |1     |1     
405   |Preste Juan                   |2     |1     
406   |Primero.                      |1     |1     
407   |Professor Michael             |1     |1     
408   |Project Gutenberg             |54    |1     
409   |Project Gutenberg License     |2     |1     
410   |Project Gutenberg Literary    |1     |1     
411   |Project Gutenberg Literary Archive|3     |1     
412   |Project Gutenberg Literary Archive Foundation|3     |1     
413   |Project Gutenberg Web         |1     |1     
414   |Public Domain                 |1     |1     
415   |Que Dorotea                   |1     |1     
416   |Quejana.                      |1     |1     
417   |Quijana.                      |1     |1     
418   |Quijote.                      |119   |1     
419   |Quijotes.                     |1     |1     
420   |Quintanar.                    |2     |1     
421   |Quiteria.                     |3     |1     
422   |Rabiaba Sancho                |1     |1     
423   |Real.                         |1     |1     
424   |Recio.                        |2     |1     
425   |Redistributing Project Gutenberg|1     |1     
426   |Release Date                  |1     |1     
427   |Revulgo.                      |1     |1     
428   |Ricote.                       |3     |1     
429   |Rocinante.                    |12    |1     
430   |Roldanes.                     |1     |1     
431   |Roma La                       |1     |1     
432   |Roma.                         |2     |1     
433   |Roncesvalles.                 |2     |1     
434   |Roque Guinart                 |7     |1     
435   |Roque.                        |1     |1     
436   |Ruidera.                      |1     |1     
437   |Saavedra.                     |2     |1     
438   |Sabe Dios                     |1     |1     
439   |Sacra Escritura               |1     |1     
440   |Sacra Majestad                |1     |1     
441   |Sacripante.                   |1     |1     
442   |Salamanca.                    |2     |1     
443   |Salt Lake City                |1     |1     
444   |San Bartolom                  |2     |1     
445   |San Basilio                   |1     |1     
446   |San Benito                    |3     |1     
447   |San Diego Matamoros           |2     |1     
448   |San Jorge                     |2     |1     
449   |San Juan                      |4     |1     
450   |San Juan Bautista             |1     |1     
451   |San Mart                      |2     |1     
452   |San Pedro                     |7     |1     
453   |Sancha.                       |1     |1     
454   |Sanchica.                     |2     |1     
455   |Sancho Bienaya                |1     |1     
456   |Sancho Dorotea                |1     |1     
457   |Sancho Panza                  |235   |1     
458   |Sancho Zancas                 |1     |1     
459   |Sancho.                       |70    |1     
460   |Santa Apolonia                |3     |1     
461   |Santa Escritura               |2     |1     
462   |Santa Hermandad               |13    |1     
463   |Santa Hermandad Vieja         |1     |1     
464   |Santa Iglesia                 |2     |1     
465   |Santa Iglesia Cat             |1     |1     
466   |Santa Inquisici               |1     |1     
467   |Santa Luc                     |1     |1     
468   |Santa Madre                   |1     |1     
469   |Santa Madre Iglesia           |1     |1     
470   |Santa Madre Iglesia Cat       |1     |1     
471   |Santa Mar                     |3     |1     
472   |Santo Concilio                |1     |1     
473   |Santo Dios                    |1     |1     
474   |Santo Grial                   |1     |1     
475   |Santo Oficio                  |3     |1     
476   |Sayago.                       |1     |1     
477   |Service.                      |1     |1     
478   |Señor Nuestro                 |1     |1     
479   |Señor Quijana                 |1     |1     
480   |Señor Roque                   |1     |1     
481   |Señora Belerma                |1     |1     
482   |Señora Gonz                   |1     |1     
483   |Si Dios                       |1     |1     
484   |Si Rold                       |1     |1     
485   |Sierra Morena                 |12    |1     
486   |Sierra Negra                  |1     |1     
487   |Soy Rocinante                 |1     |1     
488   |Soy Sancho Panza              |1     |1     
489   |States.                       |4     |1     
490   |Su Excelencia                 |1     |1     
491   |Su Ilustr                     |1     |1     
492   |Su Majestad                   |18    |1     
493   |Su Santidad                   |1     |1     
494   |Tabla Redonda                 |3     |1     
495   |Tarfe.                        |1     |1     
496   |Tejedor.                      |1     |1     
497   |Tembleque.                    |1     |1     
498   |Tenorio Hern                  |1     |1     
499   |Teresa Cascajo                |1     |1     
500   |Teresa Panza                  |25    |1     
501   |Teresa Sancha                 |1     |1     
502   |Teresa.                       |1     |1     
503   |Teresaina.                    |1     |1     
504   |Teseo.                        |2     |1     
505   |The Foundation                |4     |1     
506   |The Project Gutenberg         |1     |1     
507   |The Project Gutenberg Literary Archive Foundation|2     |1     
508   |This Web                      |1     |1     
509   |Tierra.                       |1     |1     
510   |Toboso.                       |22    |1     
511   |Tolosa.                       |1     |1     
512   |Tordesillas.                  |2     |1     
513   |Torres.                       |1     |1     
514   |Tosilos.                      |2     |1     
515   |Tostado.                      |1     |1     
516   |Tracia.                       |1     |1     
517   |Transformaciones.             |1     |1     
518   |Tres Colas                    |1     |1     
519   |Tres Estrellas                |1     |1     
520   |Tres Faldas                   |1     |1     
521   |Trifaldi.                     |1     |1     
522   |Triste Figura                 |35    |1     
523   |Turco.                        |1     |1     
524   |U.S.                          |3     |1     
525   |Un Viriato                    |1     |1     
526   |United States                 |6     |1     
527   |Valdivielso.                  |1     |1     
528   |Vale.                         |2     |1     
529   |Vallejo.                      |1     |1     
530   |Vandalia.                     |2     |1     
531   |Vellido Dolfos                |1     |1     
532   |Venga Vuestra Excelencia      |1     |1     
533   |Verde Gab                     |7     |1     
534   |Vicente.                      |1     |1     
535   |Viendo Lotario                |1     |1     
536   |Viendo Sancho                 |1     |1     
537   |Viendo Sancho Panza           |1     |1     
538   |Villalpando.                  |1     |1     
539   |Viose Lotario                 |1     |1     
540   |Virgen Mar                    |1     |1     
541   |Virgilio Polidoro             |2     |1     
542   |Virgilio.                     |1     |1     
543   |Viva Altisidora               |1     |1     
544   |Viva Roque Guinart            |1     |1     
545   |Vivaldo.                      |3     |1     
546   |Vivan Camacho                 |1     |1     
547   |Vive Dios                     |4     |1     
548   |Vive Roque                    |1     |1     
549   |Voto.                         |1     |1     
550   |Vuestra Excelencia            |17    |1     
551   |Vuestra Señor                 |4     |1     
552   |Wamba.                        |1     |1     
553   |Zaragoza.                     |3     |1     
554   |Zoraida.                      |6     |1     
555   |Zurdo.                        |1     |1     
556   |abad                          |6     |1     
557   |abadej                        |2     |1     
558   |abades                        |2     |1     
559   |abaj                          |48    |1     
560   |abalanz                       |1     |1     
561   |abandon                       |1     |1     
562   |abarragan                     |2     |1     
563   |abat                          |7     |1     
564   |abatan                        |1     |1     
565   |abatier                       |1     |1     
566   |abc                           |3     |1     
567   |abecedari                     |1     |1     
568   |abej                          |3     |1     
569   |abencerraj                    |1     |1     
570   |aberenjen                     |1     |1     
571   |abernunci                     |2     |1     
572   |abertur                       |1     |1     
573   |abid                          |1     |1     
574   |abiert                        |37    |1     
575   |abindarraez                   |3     |1     
576   |abism                         |19    |1     
577   |abland                        |10    |1     
578   |ablandais                     |1     |1     
579   |ablandart                     |1     |1     
580   |ablandat                      |1     |1     
581   |abob                          |1     |1     
582   |aboleng                       |1     |1     
583   |aboll                         |3     |1     
584   |abomin                        |4     |1     
585   |abominab                      |1     |1     
586   |abon                          |3     |1     
587   |aborrasc                      |1     |1     
588   |aborrec                       |15    |1     
589   |aborreci                      |4     |1     
590   |aborrezc                      |3     |1     
591   |about                         |7     |1     
592   |abra                          |6     |1     
593   |abrac                         |1     |1     
594   |abrais                        |1     |1     
595   |abran                         |4     |1     
596   |abras                         |23    |1     
597   |abraz                         |69    |1     
598   |abrazaronl                    |1     |1     
599   |abrazarons                    |2     |1     
600   |abrazol                       |5     |1     
601   |abre                          |4     |1     
602   |abrenunci                     |1     |1     
603   |abrevi                        |7     |1     
604   |abri                          |31    |1     
605   |abrid                         |6     |1     
606   |abriend                       |9     |1     
607   |abriendol                     |5     |1     
608   |abriendos                     |1     |1     
609   |abrier                        |4     |1     
610   |abrieron                      |2     |1     
611   |abries                        |5     |1     
612   |abrig                         |3     |1     
613   |abril                         |2     |1     
614   |abriol                        |3     |1     
615   |abrios                        |1     |1     
616   |abrir                         |16    |1     
617   |abriri                        |2     |1     
618   |abrirl                        |3     |1     
619   |abrirs                        |2     |1     
620   |abris                         |1     |1     
621   |abrist                        |1     |1     
622   |abro                          |1     |1     
623   |abroj                         |1     |1     
624   |absit                         |1     |1     
625   |absolut                       |2     |1     
626   |absort                        |5     |1     
627   |absteng                       |1     |1     
628   |absteniendot                  |1     |1     
629   |absuelv                       |1     |1     
630   |absurd                        |1     |1     
631   |abund                         |36    |1     
632   |abundantisim                  |2     |1     
633   |abus                          |3     |1     
634   |aca                           |49    |1     
635   |acab                          |308   |1     
636   |acabab                        |1     |1     
637   |acabadm                       |1     |1     
638   |acaball                       |2     |1     
639   |acabandonosl                  |1     |1     
640   |acabar                        |4     |1     
641   |acabarsel                     |1     |1     
642   |acabarsem                     |1     |1     
643   |acabeis                       |1     |1     
644   |acabes                        |1     |1     
645   |acabos                        |9     |1     
646   |academ                        |8     |1     
647   |academi                       |1     |1     
648   |acaec                         |8     |1     
649   |acaeci                        |6     |1     
650   |acamuz                        |2     |1     
651   |acanal                        |2     |1     
652   |acardenal                     |2     |1     
653   |acarici                       |2     |1     
654   |acarr                         |1     |1     
655   |acarre                        |1     |1     
656   |acas                          |54    |1     
657   |acat                          |3     |1     
658   |accept                        |3     |1     
659   |accepting                     |1     |1     
660   |access                        |12    |1     
661   |accident                      |14    |1     
662   |accion                        |21    |1     
663   |accordanc                     |2     |1     
664   |aceb                          |1     |1     
665   |aced                          |1     |1     
666   |aceit                         |10    |1     
667   |aceiter                       |1     |1     
668   |aceitun                       |2     |1     
669   |aceler                        |4     |1     
670   |acemil                        |7     |1     
671   |acen                          |8     |1     
672   |acendradisim                  |1     |1     
673   |acent                         |6     |1     
674   |acept                         |4     |1     
675   |aceptol                       |1     |1     
676   |acer                          |13    |1     
677   |acerc                         |32    |1     
678   |acercos                       |1     |1     
679   |acert                         |68    |1     
680   |acertadisim                   |1     |1     
681   |acertais                      |1     |1     
682   |acertar                       |9     |1     
683   |acertareis                    |1     |1     
684   |acertast                      |1     |1     
685   |acet                          |7     |1     
686   |acetacion                     |1     |1     
687   |acetar                        |1     |1     
688   |achaqu                        |9     |1     
689   |aciag                         |5     |1     
690   |acib                          |1     |1     
691   |acical                        |1     |1     
692   |acident                       |3     |1     
693   |aciert                        |14    |1     
694   |acion                         |1     |1     
695   |aclam                         |2     |1     
696   |aclar                         |4     |1     
697   |aclarat                       |1     |1     
698   |acobard                       |5     |1     
699   |acobardos                     |1     |1     
700   |acoc                          |2     |1     
701   |acog                          |24    |1     
702   |acogi                         |4     |1     
703   |acogist                       |1     |1     
704   |acoj                          |1     |1     
705   |acolit                        |1     |1     
706   |acomet                        |59    |1     
707   |acometedor                    |3     |1     
708   |acometell                     |2     |1     
709   |acometeri                     |1     |1     
710   |acometi                       |7     |1     
711   |acometiendo                   |1     |1     
712   |acometieronn                  |1     |1     
713   |acomod                        |74    |1     
714   |acomodadol                    |1     |1     
715   |acomodados                    |1     |1     
716   |acomodal                      |1     |1     
717   |acomodando                    |1     |1     
718   |acomodari                     |1     |1     
719   |acomodaronm                   |1     |1     
720   |acomodarsel                   |1     |1     
721   |acomodat                      |1     |1     
722   |acomodol                      |1     |1     
723   |acomodos                      |2     |1     
724   |acompan                       |92    |1     
725   |acompanamosl                  |1     |1     
726   |acompanar                     |2     |1     
727   |acondicion                    |2     |1     
728   |aconsej                       |32    |1     
729   |aconsejaral                   |1     |1     
730   |aconsejari                    |1     |1     
731   |aconsejarial                  |1     |1     
732   |aconsejart                    |3     |1     
733   |aconsejeis                    |1     |1     
734   |aconsejo                      |1     |1     
735   |aconsejol                     |2     |1     
736   |acontec                       |40    |1     
737   |aconteci                      |8     |1     
738   |acontenc                      |1     |1     
739   |acord                         |57    |1     
740   |acordais                      |2     |1     
741   |acordart                      |1     |1     
742   |acorr                         |7     |1     
743   |acorredm                      |1     |1     
744   |acorri                        |1     |1     
745   |acorruc                       |2     |1     
746   |acort                         |6     |1     
747   |acos                          |9     |1     
748   |acosais                       |1     |1     
749   |acost                         |8     |1     
750   |acostar                       |1     |1     
751   |acostos                       |1     |1     
752   |acostumbr                     |30    |1     
753   |acot                          |6     |1     
754   |acrebill                      |2     |1     
755   |acrecent                      |14    |1     
756   |acrecentosel                  |1     |1     
757   |acrecient                     |6     |1     
758   |acredit                       |15    |1     
759   |acreditab                     |1     |1     
760   |acreditar                     |1     |1     
761   |acreditart                    |1     |1     
762   |acreedor                      |1     |1     
763   |acrib                         |3     |1     
764   |acrisol                       |1     |1     
765   |activ                         |3     |1     
766   |acto                          |6     |1     
767   |actor                         |2     |1     
768   |actos                         |3     |1     
769   |actual                        |1     |1     
770   |acuchill                      |5     |1     
771   |acuci                         |1     |1     
772   |acucieis                      |1     |1     
773   |acud                          |67    |1     
774   |acudi                         |39    |1     
775   |acudier                       |1     |1     
776   |acudieronm                    |1     |1     
777   |acudir                        |1     |1     
778   |acudiri                       |1     |1     
779   |acuerd                        |70    |1     
780   |acuerdat                      |1     |1     
781   |acuerdom                      |1     |1     
782   |acuest                        |2     |1     
783   |acuit                         |1     |1     
784   |acuitar                       |1     |1     
785   |acuited                       |1     |1     
786   |acuiteis                      |1     |1     
787   |acull                         |13    |1     
788   |acurruc                       |1     |1     
789   |acus                          |3     |1     
790   |acusar                        |1     |1     
791   |acut                          |1     |1     
792   |adahal                        |1     |1     
793   |adal                          |1     |1     
794   |adam                          |4     |1     
795   |adan                          |4     |1     
796   |adarg                         |21    |1     
797   |adarm                         |1     |1     
798   |adarv                         |1     |1     
799   |addition                      |1     |1     
800   |additional                    |4     |1     
801   |additions                     |1     |1     
802   |address                       |2     |1     
803   |adel                          |176   |1     
804   |adelant                       |18    |1     
